unit_id,display_name,subject,grade,problem_count,listening_count,shortage_flag,by_problem_type_json
eng_alphabet_basic,アルファベット・基本単語,english,7,103,0,False,"{""mini_test"": 5, ""practice"": 88, ""unit_test"": 10}"
eng_be_verb,be動詞（am/is/are）・一般動詞（現在形）,english,7,34,0,False,"{""mini_test"": 5, ""practice"": 19, ""unit_test"": 10}"
eng_can_modal,助動詞 can（能力・可能）,english,7,30,0,False,"{""mini_test"": 5, ""practice"": 15, ""unit_test"": 10}"
eng_conjunctions,接続詞（that / when / if / because）,english,8,30,0,False,"{""mini_test"": 5, ""practice"": 15, ""unit_test"": 10}"
eng_future_tense,未来形（will / be going to）,english,8,30,0,False,"{""mini_test"": 5, ""practice"": 15, ""unit_test"": 10}"
eng_gerund,動名詞（動詞＋ing）,english,8,30,0,False,"{""mini_test"": 5, ""practice"": 15, ""unit_test"": 10}"
eng_infinitive,不定詞（to＋動詞の原形：名詞・形容詞・副詞的用法）,english,8,30,0,False,"{""mini_test"": 5, ""practice"": 15, ""unit_test"": 10}"
eng_infinitive_advanced,不定詞の発展（疑問詞＋to / It～for A to～）,english,9,30,0,False,"{""mini_test"": 5, ""practice"": 15, ""unit_test"": 10}"
eng_modal_verbs,助動詞（must / may / should）,english,8,30,0,False,"{""mini_test"": 5, ""practice"": 15, ""unit_test"": 10}"
eng_participle,分詞（形容詞的用法）,english,9,30,0,False,"{""mini_test"": 5, ""practice"": 15, ""unit_test"": 10}"
eng_passive_voice,受け身（be動詞＋過去分詞）,english,9,30,0,False,"{""mini_test"": 5, ""practice"": 15, ""unit_test"": 10}"
eng_past_tense,一般動詞の過去形（規則・不規則）,english,8,30,0,False,"{""mini_test"": 5, ""practice"": 15, ""unit_test"": 10}"
eng_present_perfect,現在完了形（継続・完了・経験）,english,9,30,0,False,"{""mini_test"": 5, ""practice"": 15, ""unit_test"": 10}"
eng_present_progressive,現在進行形（be + -ing）,english,7,30,0,False,"{""mini_test"": 5, ""practice"": 15, ""unit_test"": 10}"
eng_question_negative,疑問文・否定文の作り方,english,7,32,0,False,"{""mini_test"": 5, ""practice"": 17, ""unit_test"": 10}"
eng_relative_pronoun,関係代名詞（主格・目的格：who / which / that）,english,9,30,0,False,"{""mini_test"": 5, ""practice"": 15, ""unit_test"": 10}"
eng_sentence_patterns,文型（SVOO / SVOC など）,english,8,30,0,False,"{""mini_test"": 5, ""practice"": 15, ""unit_test"": 10}"
eng_subjunctive,仮定法（基礎）,english,9,30,0,False,"{""mini_test"": 5, ""practice"": 15, ""unit_test"": 10}"
eng_third_person_singular,三人称単数現在形（He plays）,english,7,30,0,False,"{""mini_test"": 5, ""practice"": 15, ""unit_test"": 10}"
