english,japanese,part_of_speech,grade,unit_id
accuracy,正確さ,noun,3,12
adaptability,適応力,noun,3,12
advancement,進展,noun,3,12
affordability,手頃さ,noun,3,12
allocation,配分,noun,3,12
analysis,解析,noun,3,12
applicability,適用可能性,noun,3,12
assessment,査定,noun,3,12
assumption,前提,noun,3,12
availability,入手可能性,noun,3,12
awareness,意識,noun,3,12
beneficiary,受益者,noun,3,12
capability,性能,noun,3,12
clarity,明確さ,noun,3,12
coherence,一貫性,noun,3,12
comparison,対比,noun,3,12
competence,能力,noun,3,12
complexity,複雑性,noun,3,12
compliance,遵守,noun,3,12
consistency,整合性,noun,3,12
credibility,信頼性,noun,3,12
dependency,依存,noun,3,12
difference,差異,noun,3,12
diversity,多様性,noun,3,12
efficiency,効率性,noun,3,12
effectiveness,有効性,noun,3,12
eligibility,適格性,noun,3,12
emphasis,重点,noun,3,12
engagement,関与,noun,3,12
enhancement,強化,noun,3,12
equivalence,同等性,noun,3,12
evaluation,査定,noun,3,12
feasibility,実現可能性,noun,3,12
flexibility,柔軟性,noun,3,12
functionality,機能,noun,3,12
improvement,向上,noun,3,12
independence,独立性,noun,3,12
inequality,不平等,noun,3,12
innovation,革新,noun,3,12
integration,統合,noun,3,12
intensity,強度,noun,3,12
interaction,相互作用,noun,3,12
interpretation,解釈,noun,3,12
investment,投資,noun,3,12
leadership,指導力,noun,3,12
limitation,制限,noun,3,12
management,運営,noun,3,12
measurement,計測,noun,3,12
motivation,動機,noun,3,12
necessity,必要性,noun,3,12
objectivity,客観性,noun,3,12
optimization,最適化,noun,3,12
performance,実績,noun,3,12
priority,優先順位,noun,3,12
productivity,生産性,noun,3,12
reliability,信頼度,noun,3,12
responsibility,責務,noun,3,12
scalability,拡張性,noun,3,12
stability,安定性,noun,3,12
sustainability,持続性,noun,3,12
transparency,透明性,noun,3,12
usability,使いやすさ,noun,3,12
validity,妥当性,noun,3,12
visibility,可視性,noun,3,12
access,利用する,verb,3,12
achieve,達成する,verb,3,12
acquire,習得する,verb,3,12
allocate,割り当てる,verb,3,12
analyze,解析する,verb,3,12
assess,評価する,verb,3,12
assume,想定する,verb,3,12
clarify,明確化する,verb,3,12
combine,統合する,verb,3,12
compare,対比する,verb,3,12
comply,従う,verb,3,12
conduct,実施する,verb,3,12
confirm,確認する,verb,3,12
consider,熟考する,verb,3,12
contribute,寄与する,verb,3,12
convert,転換する,verb,3,12
coordinate,調整する,verb,3,12
demonstrate,示す,verb,3,12
derive,導き出す,verb,3,12
design,設計する,verb,3,12
determine,判断する,verb,3,12
develop,発展させる,verb,3,12
enhance,強化する,verb,3,12
establish,築く,verb,3,12
evaluate,査定する,verb,3,12
expand,広げる,verb,3,12
explore,探る,verb,3,12
facilitate,円滑にする,verb,3,12
generate,生み出す,verb,3,12
identify,見極める,verb,3,12
implement,実装する,verb,3,12
improve,向上させる,verb,3,12
integrate,まとめる,verb,3,12
interpret,読み取る,verb,3,12
maintain,保つ,verb,3,12
measure,測定する,verb,3,12
monitor,追跡する,verb,3,12
optimize,最適化する,verb,3,12
organize,整える,verb,3,12
predict,見込む,verb,3,12
present,提示する,verb,3,12
process,処理する,verb,3,12
promote,推進する,verb,3,12
protect,守る,verb,3,12
regulate,管理する,verb,3,12
reinforce,補強する,verb,3,12
respond,応じる,verb,3,12
review,再検討する,verb,3,12
select,選び出す,verb,3,12
strengthen,強める,verb,3,12
transform,変える,verb,3,12
utilize,使いこなす,verb,3,12
adaptable,適応できる,adjective,3,12
advanced,進んだ,adjective,3,12
appropriate,適した,adjective,3,12
consistent,一貫した,adjective,3,12
efficient,効率の良い,adjective,3,12
effective,効果のある,adjective,3,12
flexible,柔軟な,adjective,3,12
innovative,革新的な,adjective,3,12
reliable,信頼できる,adjective,3,12
sustainable,持続可能な,adjective,3,12
